"","year","song","artist","peak_pos","weeks_on_chart","instance"
"1",2018,"...Ready For It?","Taylor Swift",4,19,1
"2",2003,"'03 Bonnie & Clyde","Jay-Z Featuring Beyonce Knowles",56,23,1
"3",2010,"'Til Summer Comes Around","Keith Urban",92,16,1
"4",2000,"(Hot S**t) Country Grammar","Nelly",100,34,1
"5",2004,"(I Hate) Everything About You","Three Days Grace",75,20,1
"6",2005,"(I Never Promised You A) Rose Garden","Martina McBride",98,2,1
"7",2010,"(I've Had) The Time Of My Life","Glee Cast",38,1,1
"8",2010,"(If You're Wondering If I Want You To) I Want You To","Weezer",100,9,3
"9",2011,"(It) Feels So Good","Steven Tyler",35,4,1
"10",2012,"(Kissed You) Good Night","Gloriana",97,20,1
"11",2004,"(Reach Up For The) Sunrise","Duran Duran",95,5,1
"12",2004,"(There's Gotta Be) More To Life","Stacie Orrico",84,20,1
"13",2019,"(There's No Place Like) Home For The Holidays","Perry Como",41,2,1
"14",2006,"(When You Gonna) Give It Up To Me","Sean Paul Featuring Keyshia Cole",97,22,1
"15",2000,"(You Drive Me) Crazy","Britney Spears",10,20,1
"16",2007,"(You Want To) Make A Memory","Bon Jovi",27,20,1
"17",2015,"***Flawless","Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie",82,20,2
"18",2002,"#1","Nelly",75,20,1
"19",2013,"#Beautiful","Mariah Carey Featuring Miguel",24,16,1
"20",2014,"#SELFIE","The Chainsmokers",55,11,1
"21",2013,"#thatPOWER","will.i.am Featuring Justin Bieber",42,16,1
"22",2016,"$ave Dat Money","Lil Dicky Featuring Fetty Wap & Rich Homie Quan",98,19,3
"23",2014,"0 To 100 / The Catch Up","Drake",63,20,1
"24",2017,"1 Night","Lil Yachty",94,20,2
"25",2005,"1 Thing","Amerie",100,20,1
"26",2018,"1-800-273-8255","Logic Featuring Alessia Cara & Khalid",61,41,1
"27",2005,"1, 2 Step","Ciara Featuring Missy Elliott",74,39,1
"28",2009,"1, 2, 3, 4","Plain White T's",91,20,1
"29",2019,"1.5","21 Savage",86,1,1
"30",2011,"1+1","Beyonce",57,2,1
"31",2015,"10 Bands","Drake",88,13,1
"32",2018,"10 Freaky Girls","Metro Boomin Featuring 21 Savage",42,4,1
"33",2015,"100","The Game Featuring Drake",90,10,2
"34",2015,"100 Grandkids","Mac Miller",100,1,1
"35",2004,"100 Years","Five For Fighting",70,22,1
"36",2008,"1234","Feist",70,15,2
"37",2018,"1400 / 999 Freestyle","Trippie Redd Featuring Juice WRLD",55,3,1
"38",2010,"143","Bobby Brackins Featuring Ray J",91,11,1
"39",2000,"15 Minutes","Marc Nelson",27,16,1
"40",2014,"17 Again","Brantley Gilbert",90,1,1
"41",2014,"18","One Direction",87,1,1
"42",2003,"19 Somethin'","Mark Wills",69,20,1
"43",2014,"19 You + Me","Dan + Shay",96,18,1
"44",2010,"1901","Phoenix",99,13,3
"45",2018,"1942","G-Eazy Featuring Yo Gotti & YBN Nahmir",90,8,1
"46",2017,"1942 Flows","Meek Mill",83,1,1
"47",2007,"1973","James Blunt",73,3,1
"48",2005,"1985","Bowling For Soup",72,20,1
"49",2018,"1985 (Intro To The Fall Off)","J. Cole",20,2,1
"50",2013,"1994","Jason Aldean",93,11,1
"51",2016,"1999","Prince",41,30,4
"52",2007,"1st Time","Yung Joc Featuring Marques Houston & Trey Songz",97,6,2
"53",2014,"2 On","Tinashe Featuring ScHoolboy Q",89,24,1
"54",2016,"2 Phones","Kevin Gates",93,25,1
"55",2012,"2 Reasons","Trey Songz Featuring T.I.",97,20,1
"56",2007,"2 Step","Unk",94,21,1
"57",2010,"2012 (It Ain't The End)","Jay Sean Featuring Nicki Minaj",50,14,1
"58",2009,"21 Guns","Green Day",55,20,1
"59",2003,"21 Questions","50 Cent Featuring Nate Dogg",74,23,1
"60",2011,"21st Century Girl","Willow",99,1,1
"61",2013,"22","Taylor Swift",84,20,3
"62",2014,"23","Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",70,23,2
"63",2014,"24 Hours","TeeFLii Featuring 2 Chainz",97,7,1
"64",2003,"24's","T.I.",99,15,1
"65",2000,"24/7","Kevon Edmonds",10,20,1
"66",2019,"24/7","Meek Mill Featuring Ella Mai",97,10,2
"67",2017,"24K Magic","Bruno Mars",5,41,1
"68",2010,"25 To Life","Eminem",92,1,1
"69",2017,"2U","David Guetta Featuring Justin Bieber",16,11,1
"70",2010,"3","Britney Spears",1,20,1
"71",2019,"3 Headed Snake","Gunna Featuring Young Thug",74,1,1
"72",2000,"3 Little Words","Nu Flavor",97,9,1
"73",2008,"3 Peat","Lil Wayne",66,1,1
"74",2015,"30 For 30 Freestyle","Drake",88,2,1
"75",2018,"31 Days","Future",65,2,1
"76",2015,"3500","Travi$ Scott Featuring Future & 2 Chainz",82,1,1
"77",2019,"365","Zedd & Katy Perry",86,1,1
"78",2009,"3am","Eminem",32,1,1
"79",2017,"4 AM","2 Chainz Featuring Travis Scott",73,12,1
"80",2012,"4 AM","Melanie Fiona",97,8,2
"81",2017,"4 Da Gang","Future",92,1,1
"82",2003,"4 Ever","Lil' Mo Featuring Fabolous",92,20,1
"83",2007,"4 In The Morning","Gwen Stefani",76,16,1
"84",2006,"4 Minutes","Avant",94,14,1
"85",2010,"4 Minutes","Glee Cast",89,1,1
"86",2008,"4 Minutes","Madonna Featuring Justin Timberlake & Timbaland",68,20,1
"87",2010,"4 My Town (Play Ball)","Birdman Featuring Drake & Lil Wayne",98,3,3
"88",2016,"4 Your Eyez Only","J. Cole",29,1,1
"89",2000,"4, 5, 6","Sole Featuring JT Money & Kandi",21,16,1
"90",2017,"4:44","JAY-Z",35,2,1
"91",2018,"44 More","Logic",22,5,1
"92",2017,"4422","Drake Featuring Sampha",50,2,1
"93",2017,"444+222","Lil Uzi Vert",60,3,1
"94",2018,"4th Dimension","KIDS SEE GHOSTS Featuring Louis Prima",42,1,1
"95",2012,"5 O'Clock","T-Pain Featuring Wiz Khalifa & Lily Allen",62,20,1
"96",2009,"5 Star","Yo Gotti",79,2,1
"97",2012,"5-1-5-0","Dierks Bentley",94,20,1
"98",2018,"5% Tint","Travis Scott",36,2,1
"99",2012,"50 Ways To Say Goodbye","Train",98,20,1
"100",2011,"6 Foot 7 Foot","Lil Wayne Featuring Cory Gunz",9,21,1
"101",2015,"6 God","Drake",83,1,1
"102",2016,"6 Inch","Beyonce Featuring The Weeknd",18,3,1
"103",2015,"6 Man","Drake",97,1,1
"104",2018,"66","Lil Yachty Featuring Trippie Redd",73,1,1
"105",2016,"679","Fetty Wap Featuring Remy Boyz",34,40,1
"106",2002,"7 Days","Craig David",61,20,1
"107",2019,"7 Rings","Ariana Grande",1,21,1
"108",2008,"7 Things","Miley Cyrus",84,15,1
"109",2016,"7 Years","Lukas Graham",96,36,1
"110",2015,"7/11","Beyonce",18,20,1
"111",2019,"8","Billie Eilish",79,1,1
"112",2018,"8 Out Of 10","Drake",21,3,1
"113",2017,"80s Mercedes","Maren Morris",95,13,2
"114",2006,"8th Of November","Big & Rich",95,2,1
"115",2004,"8th World Wonder","Kimberley Locke",78,20,1
"116",2016,"9","Drake",45,5,1
"117",2010,"9 AM In Dallas","Drake",57,1,1
"118",2011,"9 Piece","Rick Ross Featuring Lil Wayne Or T.I.",61,2,1
"119",2001,"911","Wyclef Jean Featuring Mary J. Blige",77,19,1
"120",2018,"92 Explorer","Post Malone",40,3,1
"121",2004,"99 Problems","JAY-Z",94,12,1
"122",2012,"99 Problems","Tony Lucca",58,1,1
"123",2003,"99.9% Sure (I've Never Been Here Before)","Brian McComas",77,11,1
"124",2007,"A Bay Bay","Hurricane Chris",95,20,1
"125",2019,"A Boy Is A Gun","Tyler, The Creator",74,1,1
"126",2007,"A Broken Wing","Jordin Sparks",66,2,1
"127",2013,"A Case Of You","James Wolpert",72,1,1
"128",2009,"A Change Is Gonna Come","Adam Lambert",56,1,1
"129",2000,"A Country Boy Can Survive (Y2K Version)","Chad Brock With Hank Williams Jr. & George Jones",93,3,1
"130",2007,"A Different World","Bucky Covington",63,20,1
"131",2007,"A Feelin' Like That","Gary Allan",94,1,1
"132",2003,"A Few Questions","Clay Walker",78,13,1
"133",2018,"A Girl Like You","Easton Corbin",98,1,1
"134",2001,"A Good Day To Run","Darryl Worley",76,9,1
"135",2007,"A Great Big Sled","The Killers Featuring Toni Halliday",88,2,2
"136",2015,"A Guy Walks Into A Bar","Tyler Farr",97,20,1
"137",2017,"A Guy With A Girl","Blake Shelton",97,17,1
"138",2019,"A Holly Jolly Christmas","Burl Ives",47,9,3
"139",2010,"A House Is Not A Home","Glee Cast",70,1,1
"140",2006,"A La Primera Persona","Alejandro Sanz",100,1,1
"141",2017,"A Lie","French Montana Featuring The Weeknd & Max B",75,1,1
"142",2013,"A Light That Never Comes","Linkin Park X Steve Aoki",65,1,1
"143",2008,"A Little Bit Longer","Jonas Brothers",11,1,1
"144",2011,"A Little Bit Stronger","Sara Evans",98,21,1
"145",2001,"A Little Gasoline","Terri Clark",75,6,1
"146",2002,"A Little Less Conversation","Elvis Presley vs JXL",50,9,1
